==============================================================================
  ENGINE PROFILE (iteration-03 parity)  —  flavor='medium_long_b8'
==============================================================================
  backend       : pytorch (reference)
  batch size    : 8
  prompt tokens : 97 (per row, left-padded)
  new tokens    : 128
  prefill       : 57.10 ms
  decode/step   : 56.341 ms  (142.0 tok/s over the batch)
  peak VRAM     : 7.64 GB
  sampling      : temperature=0.7  top_k=50  top_p=0.9
------------------------------------------------------------------------------
  Op table sorted by cuda_time_total (top 100)
------------------------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         9.77%     552.935ms        13.66%     773.544ms      35.759us        1.124s        75.66%        1.124s      51.974us           0 b           0 b       1.35 Gb       1.35 Gb         21632  11513867.796  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us        1.083s        72.85%        1.083s      50.437us           0 b           0 b           0 b           0 b         21463            --  
                                           aten::linear         1.12%      63.164ms        18.50%        1.047s      65.108us       0.000us         0.00%     735.729ms      45.749us           0 b           0 b       1.35 Gb    -304.00 Kb         16082            --  
                                           aten::matmul         3.17%     179.412ms        15.21%     861.146ms      53.547us       0.000us         0.00%     735.729ms      45.749us           0 b           0 b       1.35 Gb           0 b         16082            --  
                             Torch-Compiled Region: 7/1         0.31%      17.407ms         0.40%      22.503ms     177.190us       0.000us         0.00%     114.243ms     899.549us           0 b           0 b     254.00 Mb     254.00 Mb           127            --  
                                            aten::copy_         3.49%     197.518ms         7.75%     439.017ms      16.005us      84.175ms         5.66%      84.176ms       3.069us           0 b           0 b           0 b           0 b         27430            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      58.885ms         3.96%      58.885ms       5.479us           0 b           0 b           0 b           0 b         10748            --  
              aten::_scaled_dot_product_flash_attention         0.83%      47.034ms         5.03%     284.888ms      79.489us       0.000us         0.00%      52.957ms      14.776us      56.00 Kb           0 b     299.47 Mb           0 b          3584            --  
                         aten::_flash_attention_forward         1.21%      68.507ms         3.32%     187.880ms      52.422us      52.957ms         3.56%      52.957ms      14.776us      56.00 Kb       1.02 Kb     299.47 Mb           0 b          3584            --  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us      52.643ms         3.54%      52.643ms      14.804us           0 b           0 b           0 b           0 b          3556            --  
                                            aten::clone         0.45%      25.497ms         3.15%     178.067ms      31.628us       0.000us         0.00%      49.309ms       8.758us           0 b           0 b      40.30 Gb           0 b          5630            --  
                                aten::repeat_interleave         0.77%      43.501ms         5.11%     289.293ms      53.832us       0.000us         0.00%      48.667ms       9.056us           0 b           0 b      39.93 Gb           0 b          5374            --  
                                              aten::mul         5.00%     283.079ms         7.88%     446.127ms      18.525us      46.880ms         3.15%      46.882ms       1.947us           0 b           0 b       1.64 Gb       1.64 Gb         24083       738.886  
                             Torch-Compiled Region: 2/1         1.34%      76.095ms         2.64%     149.539ms       1.177ms       0.000us         0.00%      46.516ms     366.264us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                             Torch-Compiled Region: 2/5         1.20%      68.019ms         2.36%     133.398ms       1.050ms       0.000us         0.00%      41.314ms     325.304us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                             Torch-Compiled Region: 2/2         1.26%      71.189ms         2.38%     134.766ms       1.061ms       0.000us         0.00%      41.294ms     325.153us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                             Torch-Compiled Region: 2/4         1.21%      68.223ms         2.28%     129.331ms       1.018ms       0.000us         0.00%      41.240ms     324.724us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                             Torch-Compiled Region: 2/3         1.21%      68.696ms         2.39%     135.418ms       1.066ms       0.000us         0.00%      41.221ms     324.574us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                             Torch-Compiled Region: 2/6         1.19%      67.384ms         2.24%     126.903ms     999.237us       0.000us         0.00%      41.170ms     324.173us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                             Torch-Compiled Region: 2/7         1.18%      66.773ms         2.27%     128.624ms       1.013ms       0.000us         0.00%      41.144ms     323.969us           0 b      -1.98 Kb       5.95 Mb    -127.00 Kb           127            --  
                     aten::scaled_dot_product_attention         0.58%      32.782ms         4.23%     239.366ms      88.819us       0.000us         0.00%      39.943ms      14.821us          48 b     -42.02 Kb     252.33 Mb      -4.60 Mb          2695            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      38.702ms         2.60%      38.702ms       2.064us           0 b           0 b           0 b           0 b         18749            --  
                             Torch-Compiled Region: 2/0         0.18%      10.196ms         0.88%      50.087ms       1.789ms       0.000us         0.00%      31.339ms       1.119ms           0 b           0 b     127.31 Mb      -1.13 Gb            28            --  
                                               aten::to         0.61%      34.817ms         8.59%     486.042ms      17.998us       0.000us         0.00%      24.008ms       0.889us           0 b           0 b       1.24 Gb           0 b         27006            --  
                                         aten::_to_copy         1.91%     108.257ms         7.97%     451.226ms      27.905us       0.000us         0.00%      24.008ms       1.485us           0 b           0 b       1.24 Gb           0 b         16170            --  
triton_poi_fused__scaled_dot_product_flash_attention...         0.00%       0.000us         0.00%       0.000us       0.000us      23.946ms         1.61%      23.946ms      13.468us           0 b           0 b           0 b           0 b          1778            --  
triton_poi_fused__scaled_dot_product_flash_attention...         0.37%      20.717ms         0.64%      36.347ms      20.443us      23.932ms         1.61%      23.932ms      13.460us           0 b           0 b           0 b           0 b          1778            --  
                                             aten::mean         1.27%      72.116ms         1.88%     106.583ms      19.982us      21.260ms         1.43%      21.264ms       3.986us           0 b           0 b       2.60 Mb       2.60 Mb          5334            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      21.260ms         1.43%      21.260ms       3.986us           0 b           0 b           0 b           0 b          5334            --  
                             Torch-Compiled Region: 5/0         0.10%       5.812ms         0.17%       9.495ms     339.092us       0.000us         0.00%      20.933ms     747.617us           0 b           0 b     127.31 Mb     127.31 Mb            28            --  
                                           aten::cumsum         0.04%       2.246ms         0.06%       3.490ms      27.269us      19.197ms         1.29%      19.197ms     149.976us           0 b           0 b     256.00 Mb     256.00 Mb           128            --  
void at::native::tensor_kernel_scan_innermost_dim<c1...         0.00%       0.000us         0.00%       0.000us       0.000us      19.197ms         1.29%      19.197ms     149.976us           0 b           0 b           0 b           0 b           128            --  
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us      17.577ms         1.18%      17.577ms     606.094us           0 b           0 b           0 b           0 b            29            --  
                                              aten::add         3.10%     175.357ms         5.03%     284.835ms      17.756us      17.017ms         1.15%      17.018ms       1.061us           0 b           0 b     550.26 Mb     550.21 Mb         16042       282.093  
                                             aten::sort         0.18%      10.444ms         0.52%      29.654ms     231.673us      16.034ms         1.08%      16.250ms     126.955us           0 b           0 b       1.25 Gb       1.25 Gb           128            --  
                                              aten::cat         1.38%      78.082ms         2.02%     114.155ms      21.238us      15.459ms         1.04%      15.462ms       2.877us           0 b           0 b     297.63 Mb     297.62 Mb          5375            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      15.457ms         1.04%      15.457ms       2.876us           0 b           0 b           0 b           0 b          5374            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      12.403ms         0.83%      12.403ms       2.271us           0 b           0 b           0 b           0 b          5462            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.733ms         0.79%      11.733ms       1.096us           0 b           0 b           0 b           0 b         10708            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.606ms         0.78%      11.606ms       1.084us           0 b           0 b           0 b           0 b         10708            --  
                                          aten::softmax         0.02%       1.374ms         0.13%       7.192ms      28.094us       0.000us         0.00%      10.889ms      42.535us           0 b           0 b     757.00 Mb           0 b           256            --  
                                         aten::_softmax         0.06%       3.485ms         0.10%       5.818ms      22.727us      10.889ms         0.73%      10.889ms      42.535us           0 b           0 b     757.00 Mb     757.00 Mb           256            --  
                                              aten::neg         1.08%      61.195ms         1.82%     103.159ms      19.196us      10.339ms         0.70%      10.339ms       1.924us           0 b           0 b     143.97 Mb     143.97 Mb          5374            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.339ms         0.70%      10.339ms       1.924us           0 b           0 b           0 b           0 b          5374            --  
