==============================================================================
  ENGINE PROFILE (iteration-03 parity)  —  flavor='medium_long_b32'
==============================================================================
  backend       : pytorch (reference)
  batch size    : 32
  prompt tokens : 98 (per row, left-padded)
  new tokens    : 128
  prefill       : 173.29 ms
  decode/step   : 58.592 ms  (546.1 tok/s over the batch)
  peak VRAM     : 8.37 GB
  sampling      : temperature=0.7  top_k=50  top_p=0.9
------------------------------------------------------------------------------
  Op table sorted by cuda_time_total (top 100)
------------------------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm        10.06%     580.062ms        15.00%     864.767ms      39.976us        1.382s        64.54%        1.382s      63.892us           0 b           0 b       7.20 Gb       7.20 Gb         21632     46261.076  
                                           aten::linear         1.20%      69.358ms        23.94%        1.381s      64.376us       0.000us         0.00%        1.146s      53.450us           0 b           0 b       7.20 Gb      -1.25 Mb         21448            --  
                                           aten::matmul         3.65%     210.239ms        20.24%        1.167s      54.427us       0.000us         0.00%        1.146s      53.450us           0 b           0 b       7.20 Gb           0 b         21448            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     571.673ms        26.70%     571.673ms     160.763us           0 b           0 b           0 b           0 b          3556            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     566.084ms        26.44%     566.084ms      52.439us           0 b           0 b           0 b           0 b         10795            --  
                                            aten::copy_         4.56%     262.844ms         9.86%     568.767ms      15.639us     303.617ms        14.18%     303.625ms       8.349us           0 b           0 b           0 b           0 b         36368            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     265.802ms        12.41%     265.802ms      18.541us           0 b           0 b           0 b           0 b         14336            --  
                                            aten::clone         0.49%      28.325ms         3.80%     218.866ms      29.481us       0.000us         0.00%     252.977ms      34.076us           0 b           0 b     213.44 Gb           0 b          7424            --  
                                aten::repeat_interleave         0.84%      48.226ms         5.95%     343.357ms      47.901us       0.000us         0.00%     251.441ms      35.078us           0 b           0 b     211.97 Gb           0 b          7168            --  
                             Torch-Compiled Region: 2/0         0.20%      11.319ms         0.81%      46.940ms       1.676ms       0.000us         0.00%     149.864ms       5.352ms           0 b           0 b     514.50 Mb      -5.89 Gb            28            --  
                     aten::scaled_dot_product_attention         0.69%      39.611ms         4.92%     283.991ms      79.239us       0.000us         0.00%     145.793ms      40.679us          24 b     -55.95 Kb       1.15 Gb     -18.46 Mb          3584            --  
              aten::_scaled_dot_product_flash_attention         0.62%      35.478ms         4.24%     244.381ms      68.187us       0.000us         0.00%     145.793ms      40.679us      56.00 Kb           0 b       1.17 Gb           0 b          3584            --  
                         aten::_flash_attention_forward         1.08%      62.568ms         2.97%     171.278ms      47.790us     145.793ms         6.81%     145.793ms      40.679us      56.00 Kb         920 b       1.17 Gb           0 b          3584            --  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     144.255ms         6.74%     144.255ms      40.567us           0 b           0 b           0 b           0 b          3556            --  
                             Torch-Compiled Region: 7/1         0.27%      15.525ms         0.36%      20.602ms     162.223us       0.000us         0.00%     118.993ms     936.953us           0 b           0 b    1005.17 Mb    1005.17 Mb           127            --  
                             Torch-Compiled Region: 5/0         0.10%       5.560ms         0.17%       9.565ms     341.606us       0.000us         0.00%     104.229ms       3.722ms           0 b           0 b     514.50 Mb     514.50 Mb            28            --  
